"name","region","initial"
"beta_z_max","both",14.5190647341824
"R0_hh","both",0.421233866291302
"alpha_cases","equateur",0.245296272097241
"alpha_deaths","equateur",0.419923602904701
"cfr_00_04","equateur",0.0640423391674932
"lambda","equateur",123.82234784266
"phi_05_14","equateur",0.436863588402769
"phi_15_plus","equateur",0.963191127701513
"prop_SW","equateur",0.00273135663903444
"R0_sw_st","equateur",0.0368892778163087
"alpha_cases","sudkivu",0.0355327612186147
"alpha_deaths","sudkivu",0.483867933290514
"cfr_00_04","sudkivu",0.00695259930926478
"lambda","sudkivu",0.186240696486352
"phi_05_14","sudkivu",0.802008279925355
"phi_15_plus","sudkivu",0.319791794309338
"prop_SW","sudkivu",0.00459754505270682
"R0_sw_st","sudkivu",0.397981201990015
